avg_assists,avg_bonus,avg_bps,avg_clean_sheets,avg_creativity,avg_goals_conceded,avg_goals_scored,avg_ict_index,avg_influence,avg_minutes,avg_opponent_team,avg_own_goals,avg_penalties_missed,avg_penalties_saved,avg_red_cards,avg_saves,avg_threat,avg_total_points,avg_value,was_home,avg_yellow_cards,position,actual_points,actual_minutes
0.4,0.4,21.2,0.4,13.780000000000001,2.2,0.0,4.52,23.04,90.0,12.4,0.0,0.0,0.0,0.0,0.0,8.2,4.0,50.8,0.0,0.2,2.0,2.0,63
0.2,0.0,16.8,0.2,11.059999999999999,2.4,0.0,3.62,17.560000000000002,84.6,9.8,0.0,0.0,0.0,0.0,0.0,7.4,2.2,50.6,1.0,0.2,2.0,4.0,90
0.2,0.0,15.6,0.2,10.26,1.8,0.0,4.4,18.6,84.6,7.8,0.0,0.0,0.0,0.0,0.0,14.8,2.4,50.0,1.0,0.4,2.0,6.0,90
0.2,0.0,18.6,0.2,5.9799999999999995,2.0,0.2,4.0,24.759999999999998,84.6,9.2,0.0,0.0,0.0,0.0,0.0,9.0,3.6,49.6,0.0,0.2,2.0,5.0,90
0.2,0.0,17.2,0.2,6.02,2.0,0.2,4.199999999999999,26.520000000000003,84.6,8.2,0.0,0.0,0.0,0.0,0.0,9.2,3.4,49.4,1.0,0.4,2.0,6.0,90
0.2,0.0,19.6,0.4,6.4,1.8,0.2,4.4,28.0,90.0,9.6,0.0,0.0,0.0,0.0,0.0,9.4,4.2,49.2,1.0,0.4,2.0,2.0,87
0.0,0.0,11.2,0.4,3.62,0.2,0.0,1.6199999999999999,11.36,53.4,8.4,0.0,0.0,0.0,0.0,0.0,1.2,2.6,51.4,0.0,0.2,2.0,0.0,0
0.0,0.0,7.2,0.2,2.4200000000000004,0.2,0.0,1.02,7.0,35.4,6.8,0.0,0.0,0.0,0.0,0.0,0.8,1.6,52.4,1.0,0.0,2.0,1.0,90
0.0,0.0,4.2,0.0,7.380000000000001,0.4,0.0,1.3199999999999998,5.32,35.4,8.4,0.0,0.0,0.0,0.0,0.0,0.6,0.6,53.2,0.0,0.2,2.0,0.0,0
0.0,0.0,2.0,0.0,5.5200000000000005,0.2,0.0,0.74,1.9600000000000002,18.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,54.0,1.0,0.2,2.0,0.0,0
0.0,0.0,2.0,0.0,5.5200000000000005,0.2,0.0,0.74,1.9600000000000002,18.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,53.6,1.0,0.2,2.0,0.0,0
